Tahun,Umur,Asset,Target
0,23,15000000.00,12000000000.00
1,24,76774259.77,12000000000.00
2,25,142830119.61,12000000000.00
3,26,213392188.35,12000000000.00
4,27,288695620.96,12000000000.00
5,28,368986585.70,12000000000.00
6,29,454522751.29,12000000000.00
7,30,545573794.86,12000000000.00
8,31,642421931.68,12000000000.00
9,32,745362467.37,12000000000.00
10,33,854704373.76,12000000000.00
11,34,970770889.19,12000000000.00
12,35,1093900144.43,12000000000.00
13,36,1224445815.15,12000000000.00
14,37,1362777802.16,12000000000.00
15,38,1509282940.50,12000000000.00
16,39,1664365738.62,12000000000.00
17,40,1828449148.86,12000000000.00
18,41,2001975370.61,12000000000.00
19,42,2185406687.43,12000000000.00
20,43,2379226339.53,12000000000.00
21,44,2583939433.20,12000000000.00
22,45,2800073888.55,12000000000.00
23,46,3028181427.32,12000000000.00
24,47,3268838602.25,12000000000.00
25,48,3522647869.91,12000000000.00
26,49,3790238708.59,12000000000.00
27,50,4072268783.36,12000000000.00
28,51,4369425159.98,12000000000.00
29,52,4682425569.89,12000000000.00
30,53,5012019728.31,12000000000.00
31,54,5358990707.60,12000000000.00
32,55,5724156368.29,12000000000.00
33,56,6108370849.99,12000000000.00
34,57,6512526124.82,12000000000.00
35,58,6937553615.77,12000000000.00
36,59,7384425882.88,12000000000.00
37,60,7854158379.75,12000000000.00
38,61,8347811283.58,12000000000.00
39,62,8866491401.52,12000000000.00
40,63,9411354156.63,12000000000.00
41,64,9983605656.62,12000000000.00
42,65,10584504848.87,12000000000.00
43,66,11215365765.17,12000000000.00
44,67,11877559859.96,12000000000.00
45,68,12572518445.85,12000000000.00
